===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
AliceMC10                     ;Alice 4k                            ;Tandy MC-10                         ;AliceMC10:18_Common_JP              ;Matra Alice 4k                      ;AliceMC10:18_Common_JP              ;AliceMC10:18_Common_JP              ;AliceMC10:18_Common_EU                                  ;AliceMC10:18_Common_JP                                  ;AliceMC10:18_Common_JP                                  ;Matra-Hachette Alice 4k                                 ;Tandy TRS-80 MC-10                                      ;AliceMC10:28_Manufacturer_JP                            ;Matra-Hachette Alice 4k      Tandy TRS-80 MC-10                                                             
Altair8800                    ;Altair 8800                         ;Altair8800:18_Common_EU             ;Altair8800:18_Common_EU             ;MITS Altair 8800                    ;Altair8800:18_Manufacturer_EU       ;Altair8800:18_Manufacturer_EU       ;Altair8800:18_Common_EU                                 ;Altair8800:18_Common_EU                                 ;Altair8800:18_Common_EU                                 ;Altair8800:18_Manufacturer_EU                           ;Altair8800:18_Manufacturer_EU                           ;Altair8800:18_Manufacturer_EU                           ;Altair8800:18_Manufacturer_EU                                                                               
Amstrad                       ;Amstrad CPC                         ;Amstrad:18_Common_EU                ;Amstrad:18_Common_EU                ;Amst. CPC 664/6128                  ;Amstrad:18_Manufacturer_EU          ;Amstrad:18_Manufacturer_EU          ;Amstrad CPC 664/6128                                    ;Amstrad:28_Common_EU                                    ;Amstrad:28_Common_EU                                    ;Amstrad:28_Common_EU                                    ;Amstrad:28_Common_EU                                    ;Amstrad:28_Common_EU                                    ;Amstrad:28_Common_EU                                                                                        
Amstrad-PCW                   ;Amstrad PCW                         ;Amstrad-PCW:18_Common_EU            ;Amstrad-PCW:18_Common_EU            ;Amstrad-PCW:18_Common_EU            ;Amstrad-PCW:18_Common_EU            ;Amstrad-PCW:18_Common_EU            ;Amstrad-PCW:18_Common_EU                                ;Amstrad-PCW:18_Common_EU                                ;Amstrad-PCW:18_Common_EU                                ;Amstrad-PCW:18_Common_EU                                ;Amstrad-PCW:18_Common_EU                                ;Amstrad-PCW:18_Common_EU                                ;Amstrad-PCW:18_Common_EU                                                                                    
ao486                         ;PC (486SX)                          ;ao486:18_Common_EU                  ;ao486:18_Common_EU                  ;IBM PC (486SX)                      ;ao486:18_Manufacturer_EU            ;ao486:18_Manufacturer_EU            ;ao486:18_Common_EU                                      ;ao486:18_Common_EU                                      ;ao486:18_Common_EU                                      ;IBM PC Compatible (486SX)                               ;ao486:28_Manufacturer_EU                                ;ao486:28_Manufacturer_EU                                ;ao486:28_Manufacturer_EU                                                                                    
Apogee                        ;Apogee BK-01                        ;Apogee:18_Common_EU                 ;Apogee:18_Common_EU                 ;Apogee:18_Common_EU                 ;Apogee:18_Common_EU                 ;Apogee:18_Common_EU                 ;Apogee:18_Common_EU                                     ;Apogee:18_Common_EU                                     ;Apogee:18_Common_EU                                     ;Apogee:18_Common_EU                                     ;Apogee:18_Common_EU                                     ;Apogee:18_Common_EU                                     ;Apogee:18_Common_EU                                                                                         
Apple-I                       ;Apple I                             ;Apple-I:18_Common_EU                ;Apple-I:18_Common_EU                ;Apple-I:18_Common_EU                ;Apple-I:18_Common_EU                ;Apple-I:18_Common_EU                ;Apple-I:18_Common_EU                                    ;Apple-I:18_Common_EU                                    ;Apple-I:18_Common_EU                                    ;Apple-I:18_Common_EU                                    ;Apple-I:18_Common_EU                                    ;Apple-I:18_Common_EU                                    ;Apple-I:18_Common_EU                                                                                        
Apple-II                      ;Apple IIe                           ;Apple-II:18_Common_EU               ;Apple-II:18_Common_EU               ;Apple-II:18_Common_EU               ;Apple-II:18_Common_EU               ;Apple-II:18_Common_EU               ;Apple-II:18_Common_EU                                   ;Apple-II:18_Common_EU                                   ;Apple-II:18_Common_EU                                   ;Apple-II:18_Common_EU                                   ;Apple-II:18_Common_EU                                   ;Apple-II:18_Common_EU                                   ;Apple-II:18_Common_EU                                                                                       
